timestamp,port_congestion_level,warehouse_inventory_level,handling_equipment_availability,loading_unloading_time,weather_condition_severity,delay_probability,historical_demand
2021-04-20,7.77,741.0,0.677,3.75,0.122,0.562,4944
2021-04-21,5.91,744.0,0.706,2.9,0.172,0.529,5045
2021-04-22,7.78,633.0,0.8,3.08,0.129,0.51,4692
2021-04-23,7.85,690.0,0.711,3.47,0.268,0.59,4640
2021-04-24,10.0,744.0,0.777,3.94,0.0,0.527,3182
2021-04-25,7.56,645.0,0.722,3.66,0.139,0.466,3529
2021-04-26,8.03,655.0,0.654,3.45,0.124,0.584,4998
2021-04-27,7.68,637.0,0.691,3.69,0.083,0.528,4691
2021-04-28,6.52,616.0,0.831,3.88,0.295,0.565,4878
2021-04-29,8.81,635.0,0.716,4.01,0.027,0.569,4737
2021-04-30,8.39,607.0,0.705,3.66,0.187,0.54,4787
2021-05-01,8.41,671.0,0.74,3.63,0.14,0.578,3618
2021-05-02,6.68,632.0,0.791,3.23,0.224,0.484,3445
2021-05-03,8.97,683.0,0.777,4.15,0.025,0.644,5061
2021-05-04,6.13,594.0,0.85,3.04,0.013,0.419,5022
2021-05-05,8.09,689.0,0.72,3.63,0.19,0.571,5156
2021-05-06,9.67,715.0,0.64,3.95,0.117,0.561,5094
2021-05-07,6.46,575.0,0.75,3.14,0.0,0.522,5180
2021-05-08,6.85,694.0,0.776,2.96,0.01,0.491,3767
2021-05-09,7.49,738.0,0.702,3.59,0.097,0.518,3756
2021-05-10,6.85,617.0,0.715,3.35,0.136,0.576,5127
2021-05-11,5.77,762.0,0.802,3.3,0.0,0.475,5232
2021-05-12,7.36,700.0,0.75,3.31,0.0,0.547,5798
2021-05-13,6.2,644.0,0.778,3.61,0.089,0.455,5363
2021-05-14,7.7,677.0,0.708,3.28,0.0,0.461,5463
2021-05-15,6.27,709.0,0.763,3.77,0.0,0.493,4141
2021-05-16,8.7,686.0,0.68,3.22,0.0,0.545,4521
2021-05-17,6.33,709.0,0.818,3.4,0.098,0.541,5322
2021-05-18,6.76,637.0,0.817,3.49,0.025,0.504,5706
2021-05-19,7.86,692.0,0.651,3.33,0.0,0.546,5386
2021-05-20,5.77,614.0,0.738,3.28,0.141,0.42,5511
2021-05-21,7.19,680.0,0.681,3.82,0.062,0.623,5396
2021-05-22,8.23,641.0,0.703,2.98,0.155,0.57,3608
2021-05-23,5.28,650.0,0.79,3.21,0.0,0.493,4080
2021-05-24,7.03,749.0,0.687,2.66,0.0,0.469,5418
2021-05-25,7.06,742.0,0.713,3.12,0.0,0.527,5909
2021-05-26,7.55,719.0,0.699,4.0,0.0,0.461,5749
2021-05-27,5.48,635.0,0.801,2.92,0.0,0.487,5926
2021-05-28,5.36,674.0,0.796,2.72,0.031,0.449,5775
2021-05-29,7.16,751.0,0.721,3.37,0.0,0.516,4012
2021-05-30,6.89,698.0,0.771,4.0,0.023,0.546,4153
2021-05-31,6.8,807.0,0.737,2.81,0.028,0.448,5641
2021-06-01,6.85,712.0,0.749,3.05,0.169,0.505,5710
2021-06-02,5.78,702.0,0.868,3.6,0.0,0.496,5803
2021-06-03,6.65,677.0,0.834,3.89,0.0,0.604,5721
2021-06-04,6.66,700.0,0.702,3.3,0.0,0.493,5474
2021-06-05,5.61,686.0,0.829,2.75,0.0,0.498,4523
2021-06-06,8.14,730.0,0.778,4.26,0.086,0.556,3968
2021-06-07,6.7,743.0,0.709,3.82,0.0,0.598,6137
2021-06-08,4.99,656.0,0.841,3.2,0.0,0.362,6325
2021-06-09,6.79,629.0,0.841,3.11,0.0,0.508,5748
2021-06-10,5.11,604.0,0.742,3.01,0.0,0.372,5849
2021-06-11,6.82,722.0,0.718,3.32,0.0,0.379,6547
2021-06-12,7.15,641.0,0.808,3.53,0.0,0.529,4586
2021-06-13,5.12,589.0,0.811,3.46,0.087,0.478,4265
2021-06-14,6.85,717.0,0.791,3.63,0.0,0.491,6106
2021-06-15,6.25,822.0,0.792,2.93,0.0,0.482,5981
2021-06-16,6.61,698.0,0.787,3.74,0.0,0.653,6096
2021-06-17,7.64,740.0,0.681,3.62,0.0,0.516,5853
2021-06-18,5.45,702.0,0.843,3.3,0.0,0.489,5748
2021-06-19,4.89,694.0,0.861,3.42,0.0,0.414,4163
2021-06-20,4.7,745.0,0.795,2.61,0.0,0.456,4402
2021-06-21,4.72,685.0,0.803,2.93,0.0,0.43,5969
2021-06-22,5.41,713.0,0.715,2.92,0.0,0.442,6123
2021-06-23,5.78,715.0,0.81,2.69,0.015,0.567,5906
2021-06-24,5.66,666.0,0.815,3.24,0.0,0.529,5988
2021-06-25,6.16,749.0,0.774,3.99,0.0,0.492,6314
2021-06-26,5.3,691.0,0.85,2.51,0.0,0.344,4510
2021-06-27,6.69,662.0,0.75,3.33,0.0,0.483,4307
2021-06-28,4.92,727.0,0.83,3.18,0.048,0.592,6324
2021-06-29,7.85,655.0,0.692,3.61,0.0,0.524,6126
2021-06-30,5.7,701.0,0.785,3.11,0.0,0.526,6439
2021-07-01,4.17,700.0,0.808,2.44,0.0,0.497,6127
2021-07-02,3.9,754.0,0.833,2.85,0.0,0.428,6193
2021-07-03,5.41,724.0,0.773,2.85,0.0,0.42,4140
2021-07-04,4.65,699.0,0.8,2.27,0.0,0.318,4386
2021-07-05,5.53,741.0,0.831,3.47,0.0,0.5,6387
2021-07-06,5.24,769.0,0.773,3.34,0.0,0.416,6471
2021-07-07,4.64,728.0,0.727,2.94,0.0,0.448,6374
2021-07-08,3.82,700.0,0.911,2.83,0.0,0.352,5970
2021-07-09,3.1,634.0,0.907,2.94,0.0,0.38,6537
2021-07-10,4.12,646.0,0.753,2.89,0.0,0.425,4031
2021-07-11,5.37,684.0,0.827,3.34,0.0,0.474,4562
2021-07-12,4.67,669.0,0.781,2.85,0.0,0.385,6127
2021-07-13,3.16,689.0,0.85,3.03,0.035,0.462,6371
2021-07-14,4.53,701.0,0.824,3.0,0.0,0.406,5945
2021-07-15,4.69,725.0,0.794,3.0,0.0,0.357,6444
2021-07-16,3.38,695.0,0.793,2.29,0.0,0.396,5927
2021-07-17,4.36,722.0,0.778,2.96,0.0,0.433,4251
2021-07-18,4.22,701.0,0.77,2.59,0.0,0.435,4174
2021-07-19,2.97,599.0,0.799,2.4,0.0,0.457,5815
2021-07-20,4.42,650.0,0.808,2.64,0.0,0.421,6161
2021-07-21,4.57,689.0,0.773,2.59,0.0,0.431,6475
2021-07-22,5.05,636.0,0.833,3.65,0.065,0.409,6618
2021-07-23,4.97,726.0,0.875,3.39,0.0,0.49,6135
2021-07-24,2.49,772.0,0.821,3.07,0.025,0.389,4652
2021-07-25,2.88,756.0,0.854,2.21,0.0,0.365,4490
2021-07-26,4.29,684.0,0.839,2.88,0.0,0.333,6236
2021-07-27,4.24,769.0,0.839,2.46,0.0,0.499,6007
2021-07-28,4.19,701.0,0.82,2.63,0.0,0.364,6133
2021-07-29,7.49,677.0,0.787,3.22,0.0,0.495,6016
2021-07-30,4.16,662.0,0.841,3.2,0.0,0.443,5923
2021-07-31,4.68,677.0,0.745,2.82,0.0,0.38,4240
2021-08-01,4.45,673.0,0.854,3.21,0.193,0.397,4191
2021-08-02,4.1,700.0,0.862,3.0,0.076,0.332,6184
2021-08-03,3.09,699.0,0.8,3.31,0.033,0.435,5768
2021-08-04,4.12,690.0,0.819,2.38,0.0,0.396,5964
2021-08-05,2.55,712.0,0.883,2.89,0.069,0.537,6332
2021-08-06,3.04,749.0,0.829,2.95,0.024,0.346,6229
2021-08-07,2.75,736.0,0.899,2.26,0.0,0.336,4608
2021-08-08,3.28,614.0,0.953,2.96,0.0,0.37,4304
2021-08-09,5.47,560.0,0.751,3.19,0.0,0.476,5816
2021-08-10,1.25,733.0,0.806,2.18,0.0,0.314,6186
2021-08-11,3.76,618.0,0.84,2.5,0.014,0.446,6137
2021-08-12,1.42,674.0,0.908,2.07,0.0,0.294,5598
2021-08-13,2.52,626.0,0.838,3.12,0.162,0.339,5528
2021-08-14,4.05,594.0,0.892,2.81,0.009,0.333,4430
2021-08-15,2.98,710.0,0.773,2.83,0.0,0.278,4120
2021-08-16,1.81,720.0,0.899,2.12,0.012,0.331,5742
2021-08-17,2.13,653.0,0.827,2.19,0.0,0.349,5543
2021-08-18,3.49,551.0,0.916,3.02,0.074,0.388,5591
2021-08-19,2.05,653.0,0.959,2.0,0.061,0.436,5471
2021-08-20,2.96,699.0,0.802,2.47,0.132,0.477,5998
2021-08-21,2.75,605.0,0.817,2.56,0.0,0.366,4049
2021-08-22,2.02,687.0,0.903,2.44,0.051,0.281,4115
2021-08-23,4.79,676.0,0.785,2.9,0.0,0.415,5649
2021-08-24,3.25,705.0,0.833,2.77,0.128,0.393,5720
2021-08-25,0.56,681.0,0.89,2.32,0.115,0.307,5837
2021-08-26,2.74,626.0,0.749,2.77,0.119,0.371,5663
2021-08-27,1.86,734.0,0.862,2.08,0.075,0.338,5436
2021-08-28,3.34,665.0,0.799,2.58,0.122,0.405,3780
2021-08-29,1.67,671.0,0.842,2.69,0.247,0.368,4001
2021-08-30,2.32,625.0,0.926,2.73,0.064,0.393,5359
2021-08-31,2.92,648.0,0.779,2.17,0.112,0.428,5312
2021-09-01,3.25,625.0,0.876,2.76,0.0,0.352,5486
2021-09-02,1.16,660.0,0.863,1.64,0.023,0.403,5567
2021-09-03,2.0,753.0,0.846,2.41,0.126,0.336,4988
2021-09-04,1.84,598.0,0.903,2.94,0.233,0.321,3914
2021-09-05,1.64,585.0,0.884,2.04,0.103,0.389,3736
2021-09-06,4.03,738.0,0.848,2.56,0.111,0.402,5319
2021-09-07,2.65,653.0,0.895,2.76,0.1,0.416,5353
2021-09-08,0.97,629.0,0.864,1.73,0.094,0.228,5599
2021-09-09,3.13,714.0,0.807,2.44,0.183,0.5,5289
2021-09-10,4.31,631.0,0.76,3.04,0.01,0.465,5284
2021-09-11,3.2,751.0,0.795,2.45,0.295,0.38,3800
2021-09-12,0.64,693.0,1.0,2.06,0.107,0.266,3857
2021-09-13,1.65,634.0,0.929,2.55,0.252,0.484,4970
2021-09-14,3.39,765.0,0.765,2.8,0.059,0.377,5139
2021-09-15,1.4,626.0,0.806,2.36,0.26,0.352,5043
2021-09-16,2.54,692.0,0.873,2.41,0.267,0.316,4829
2021-09-17,2.86,669.0,0.87,2.68,0.245,0.417,4897
2021-09-18,1.15,718.0,0.905,2.19,0.113,0.346,3573
2021-09-19,2.0,730.0,0.847,2.54,0.245,0.445,3231
2021-09-20,0.0,653.0,0.894,1.85,0.108,0.252,5211
2021-09-21,1.02,612.0,0.896,2.15,0.208,0.296,4829
2021-09-22,1.78,672.0,0.869,2.06,0.343,0.445,5045
2021-09-23,0.78,614.0,0.773,2.15,0.326,0.439,4261
2021-09-24,3.65,748.0,0.815,2.49,0.255,0.382,4464
2021-09-25,0.58,653.0,0.846,1.78,0.163,0.404,3363
2021-09-26,1.57,627.0,0.877,2.39,0.332,0.415,3455
2021-09-27,2.14,653.0,1.0,2.49,0.276,0.474,4634
2021-09-28,3.44,575.0,0.849,2.92,0.049,0.41,4595
2021-09-29,0.57,593.0,0.873,1.98,0.366,0.264,4278
2021-09-30,3.16,701.0,0.883,2.76,0.292,0.446,4153
2021-10-01,2.01,607.0,0.884,2.57,0.422,0.498,4349
2021-10-02,1.02,586.0,0.901,2.34,0.199,0.326,2947
2021-10-03,2.46,665.0,0.881,2.25,0.0,0.355,3142
2021-10-04,2.2,696.0,0.959,2.49,0.35,0.427,4405
2021-10-05,1.41,672.0,0.815,2.39,0.358,0.269,4084
2021-10-06,2.08,684.0,0.882,2.42,0.167,0.479,4598
2021-10-07,1.63,596.0,0.821,1.7,0.245,0.353,4468
2021-10-08,2.14,561.0,0.885,2.48,0.625,0.514,3633
2021-10-09,2.69,707.0,0.8,3.2,0.326,0.442,2696
2021-10-10,3.62,614.0,0.807,2.62,0.437,0.559,2258
2021-10-11,0.81,617.0,0.869,1.94,0.305,0.406,3946
2021-10-12,4.19,695.0,0.865,2.95,0.168,0.448,4189
2021-10-13,0.11,655.0,0.944,2.12,0.367,0.332,4023
2021-10-14,1.93,649.0,0.799,2.74,0.364,0.47,3986
2021-10-15,2.68,734.0,0.849,2.16,0.357,0.358,3627
2021-10-16,2.38,592.0,0.817,2.7,0.392,0.482,2838
2021-10-17,1.49,670.0,0.807,2.48,0.437,0.377,2604
2021-10-18,1.92,625.0,0.851,2.34,0.402,0.501,3767
2021-10-19,1.65,635.0,0.851,2.43,0.297,0.417,3812
2021-10-20,1.57,697.0,0.99,2.62,0.479,0.475,3517
2021-10-21,3.03,645.0,0.861,2.87,0.242,0.443,3524
2021-10-22,2.56,645.0,0.78,2.17,0.238,0.337,3938
2021-10-23,1.52,671.0,0.841,2.55,0.523,0.407,2633
2021-10-24,3.14,598.0,0.888,2.61,0.507,0.529,2663
2021-10-25,2.56,574.0,0.953,2.53,0.456,0.477,3630
2021-10-26,3.09,562.0,0.759,2.64,0.329,0.518,3498
2021-10-27,2.93,515.0,0.747,2.54,0.404,0.489,3060
2021-10-28,1.5,716.0,0.964,2.66,0.455,0.387,3530
2021-10-29,1.79,557.0,0.884,2.33,0.327,0.379,3537
2021-10-30,3.12,600.0,0.794,2.29,0.419,0.483,2743
2021-10-31,3.01,596.0,0.867,2.48,0.564,0.387,2475
2021-11-01,2.4,625.0,0.72,2.53,0.648,0.585,3439
2021-11-02,2.57,649.0,0.849,2.88,0.469,0.493,3416
2021-11-03,3.76,651.0,0.841,2.93,0.592,0.592,2987
2021-11-04,1.91,577.0,0.908,2.13,0.331,0.345,3431
2021-11-05,3.08,597.0,0.788,3.36,0.594,0.574,3115
2021-11-06,2.36,619.0,0.857,2.55,0.453,0.573,2041
2021-11-07,2.38,592.0,0.806,2.86,0.57,0.419,2106
2021-11-08,3.73,684.0,0.838,2.7,0.52,0.554,3019
2021-11-09,3.48,627.0,0.786,2.86,0.682,0.541,3251
2021-11-10,3.51,638.0,0.809,2.95,0.468,0.422,2658
2021-11-11,4.03,634.0,0.77,3.17,0.624,0.57,3118
2021-11-12,2.78,659.0,0.877,2.87,0.538,0.533,2820
2021-11-13,3.48,608.0,0.873,2.96,0.555,0.485,1794
2021-11-14,2.52,534.0,0.838,2.41,0.558,0.545,2259
2021-11-15,3.19,618.0,0.838,2.47,0.496,0.412,3115
2021-11-16,2.77,565.0,0.772,2.65,0.584,0.425,3117
2021-11-17,3.04,570.0,0.824,2.89,0.584,0.515,2989
2021-11-18,3.57,625.0,0.826,2.65,0.619,0.532,3191
2021-11-19,2.2,657.0,0.987,2.76,0.608,0.452,3036
2021-11-20,5.15,595.0,0.741,3.47,0.684,0.632,1690
2021-11-21,2.09,609.0,0.931,2.14,0.701,0.529,1998
2021-11-22,1.92,678.0,0.911,2.13,0.508,0.502,3118
2021-11-23,4.33,604.0,0.827,2.82,0.704,0.565,2442
2021-11-24,4.01,722.0,0.908,2.89,0.503,0.551,2628
2021-11-25,3.88,619.0,0.841,2.62,0.684,0.531,2546
2021-11-26,3.93,503.0,0.841,3.19,0.692,0.659,2089
2021-11-27,3.33,628.0,0.831,2.79,0.442,0.448,1958
2021-11-28,2.49,608.0,0.911,2.51,0.646,0.609,1436
2021-11-29,3.51,653.0,0.885,2.27,0.594,0.526,2637
2021-11-30,2.8,622.0,0.813,2.16,0.569,0.429,2814
2021-12-01,4.49,581.0,0.744,2.98,0.783,0.66,2237
2021-12-02,3.42,526.0,0.822,2.04,0.586,0.526,2865
2021-12-03,2.78,576.0,0.804,2.86,0.574,0.541,2243
2021-12-04,3.33,544.0,0.83,2.62,0.665,0.594,1905
2021-12-05,4.11,557.0,0.88,3.8,0.729,0.586,1767
2021-12-06,3.18,615.0,0.813,3.33,0.649,0.496,2132
2021-12-07,2.97,669.0,0.838,2.54,0.783,0.595,2927
2021-12-08,4.09,604.0,0.821,2.79,0.722,0.567,2347
2021-12-09,4.14,524.0,0.86,3.13,0.454,0.549,2316
2021-12-10,3.43,606.0,0.719,3.2,0.621,0.42,2134
2021-12-11,3.52,643.0,0.799,2.21,0.62,0.552,1601
2021-12-12,4.27,553.0,0.825,2.32,0.727,0.541,1536
2021-12-13,2.64,576.0,0.907,2.34,0.418,0.545,2568
2021-12-14,2.73,583.0,0.821,2.72,0.938,0.601,2153
2021-12-15,3.47,543.0,0.737,2.84,0.738,0.564,2373
2021-12-16,4.02,614.0,0.851,3.13,0.702,0.585,2224
2021-12-17,4.59,576.0,0.776,2.56,0.807,0.549,1807
2021-12-18,5.81,602.0,0.724,2.47,0.924,0.74,1231
2021-12-19,5.24,537.0,0.764,3.31,0.779,0.713,891
2021-12-20,4.28,559.0,0.805,2.61,0.788,0.605,2253
2021-12-21,4.47,617.0,0.78,2.29,0.707,0.655,1994
2021-12-22,3.53,562.0,0.719,2.75,0.681,0.514,2274
2021-12-23,4.57,667.0,0.853,3.15,0.649,0.527,2567
2021-12-24,4.35,560.0,0.877,2.83,0.614,0.555,2113
2021-12-25,5.01,592.0,0.832,2.87,0.629,0.598,1729
2021-12-26,3.91,627.0,0.765,2.74,0.563,0.51,1502
2021-12-27,5.31,509.0,0.784,2.95,0.691,0.625,2493
2021-12-28,6.38,492.0,0.772,2.87,0.531,0.613,2111
2021-12-29,4.79,504.0,0.834,2.74,0.719,0.537,2032
2021-12-30,5.35,643.0,0.826,3.23,0.696,0.626,2320
2021-12-31,5.69,552.0,0.749,3.23,0.715,0.657,2007
2022-01-01,4.65,708.0,0.811,2.98,0.648,0.578,1364
2022-01-02,5.33,552.0,0.816,2.77,1.0,0.717,1156
2022-01-03,5.17,589.0,0.869,2.98,0.835,0.561,2148
2022-01-04,5.3,657.0,0.829,2.41,0.575,0.597,2533
2022-01-05,4.48,681.0,0.85,2.95,0.722,0.52,1877
2022-01-06,5.33,683.0,0.798,3.5,0.637,0.532,2258
2022-01-07,5.86,641.0,0.853,2.73,0.596,0.563,2393
2022-01-08,6.86,632.0,0.783,3.2,0.562,0.571,1533
2022-01-09,6.42,610.0,0.729,3.38,0.738,0.613,1636
2022-01-10,7.67,620.0,0.817,3.91,0.626,0.644,2143
2022-01-11,4.8,554.0,0.839,2.82,0.79,0.644,2129
2022-01-12,6.49,540.0,0.748,3.09,0.791,0.637,2194
2022-01-13,5.85,581.0,0.759,2.58,0.827,0.562,2146
2022-01-14,7.91,573.0,0.757,3.61,0.603,0.715,2042
2022-01-15,4.96,559.0,0.824,3.6,0.734,0.554,1611
2022-01-16,4.98,617.0,0.81,3.08,0.748,0.596,1363
2022-01-17,5.27,630.0,0.81,3.05,0.636,0.607,2166
2022-01-18,3.79,587.0,0.909,2.85,0.604,0.544,2318
2022-01-19,5.44,657.0,0.845,3.08,0.84,0.686,2462
2022-01-20,5.25,526.0,0.804,2.81,0.699,0.621,1613
2022-01-21,6.21,574.0,0.823,3.49,0.738,0.591,2330
2022-01-22,6.45,548.0,0.719,3.36,0.589,0.72,1469
2022-01-23,8.03,491.0,0.759,3.61,0.547,0.66,1140
2022-01-24,7.15,581.0,0.847,3.14,0.609,0.629,2382
2022-01-25,5.67,579.0,0.776,3.53,0.651,0.649,2407
2022-01-26,5.4,662.0,0.75,3.28,0.554,0.585,2529
2022-01-27,6.84,618.0,0.731,3.2,0.657,0.656,1753
2022-01-28,5.07,536.0,0.744,3.31,0.486,0.674,2693
2022-01-29,8.27,680.0,0.695,3.5,0.539,0.642,1395
2022-01-30,7.66,649.0,0.728,3.3,0.715,0.657,1625
2022-01-31,6.06,617.0,0.709,2.98,0.705,0.628,2490
2022-02-01,4.86,578.0,0.804,2.44,0.602,0.62,2313
2022-02-02,7.97,541.0,0.786,3.74,0.535,0.571,2580
2022-02-03,6.54,571.0,0.724,2.76,0.531,0.504,2435
2022-02-04,7.94,645.0,0.817,3.22,0.592,0.627,2055
2022-02-05,5.15,685.0,0.823,2.41,0.69,0.511,1992
2022-02-06,6.18,669.0,0.828,3.21,0.714,0.607,1534
2022-02-07,6.83,568.0,0.73,3.32,0.568,0.644,2333
2022-02-08,6.91,537.0,0.804,3.28,0.498,0.562,2538
2022-02-09,6.46,601.0,0.716,2.98,0.636,0.549,2611
2022-02-10,7.57,506.0,0.793,3.16,0.522,0.635,2574
2022-02-11,5.92,611.0,0.79,3.32,0.548,0.63,2773
2022-02-12,6.88,588.0,0.79,3.21,0.728,0.567,1457
